,num_positions,max_weight,hhi,daily_turnover,gross_value
2018-03-13,1,0.12747229358127962,0.01624918563087194,0.0,12747.229358127963
2018-03-14,1,0.1281335512151418,0.01641820694700337,0.0006612576338621834,12805.844548957977
2018-03-15,1,0.12699109199895353,0.01612673744708668,0.001142459216188274,12704.531453437998
2018-03-16,1,0.1268311944625163,0.01608615188878863,0.00015989753643722016,12690.335377741743
2018-03-19,1,0.12654254785727645,0.0160130164182111,0.00028864660523986174,12664.698456319453
2018-03-20,1,0.12611095930812458,0.015903974057615452,0.0004315885491518734,12626.341246534463
2018-03-21,1,0.12599018974866988,0.01587352791290584,0.00012076955945469758,12615.602648934291
2018-03-22,1,0.12738466542405147,0.016226852985197535,0.0013944756753815901,12739.456664395679
2018-03-23,1,0.12675523129316285,0.01606688866018321,0.0006294341308886175,12683.589778900643
2018-03-26,1,0.1277031618821226,0.016308097554691613,0.0009479305889597556,12767.701793485658
2018-03-27,1,0.12637203561749785,0.015969891386110147,0.0013311262646247546,12649.547781438376
2018-03-28,0,0.0,0.0,0.12637203561749785,0.0
2018-03-29,0,0.0,0.0,0.0,0.0
2018-03-30,0,0.0,0.0,0.0,0.0
2018-04-02,0,0.0,0.0,0.0,0.0
2018-04-03,1,0.14989770583005949,0.02246932221311505,0.14989770583005949,18828.26533349088
2018-04-04,1,0.1496751341945594,0.022402645796159366,0.00022257163550007397,18803.948333052755
2018-04-05,1,0.14933586882663266,0.022301201718205238,0.0003392653679267499,18766.863872852853
2018-04-06,1,0.1503606963063126,0.022608338993719168,0.0010248274796799406,18878.819080002082
2018-04-09,1,0.15030054679457905,0.022590254366749447,6.014951173355376e-05,18872.253678708774
2018-04-10,1,0.14912079590020708,0.022237011769911216,0.0011797508943719726,18743.343314293696
2018-04-11,0,0.0,0.0,0.14912079590020708,0.0
2018-04-12,0,0.0,0.0,0.0,0.0
2018-04-13,0,0.0,0.0,0.0,0.0
2018-04-16,0,0.0,0.0,0.0,0.0
2018-04-17,0,0.0,0.0,0.0,0.0
2018-04-18,0,0.0,0.0,0.0,0.0
2018-04-19,0,0.0,0.0,0.0,0.0
2018-04-20,0,0.0,0.0,0.0,0.0
2018-04-23,0,0.0,0.0,0.0,0.0
2018-04-24,0,0.0,0.0,0.0,0.0
2018-04-25,0,0.0,0.0,0.0,0.0
2018-04-26,0,0.0,0.0,0.0,0.0
2018-04-27,0,0.0,0.0,0.0,0.0
2018-04-30,0,0.0,0.0,0.0,0.0
2018-05-01,0,0.0,0.0,0.0,0.0
2018-05-02,0,0.0,0.0,0.0,0.0
2018-05-03,0,0.0,0.0,0.0,0.0
